ID,TA,HM
20260817_100,22.27,93.82
20260817_101,25.65,83.86
20260817_102,26.97,73.41
20260817_104,25.9,85.58
20260817_105,27.39,74.87
20260817_106,25.56,88.25
20260817_108,25.18,88.49
20260817_112,26.03,82.03
20260817_114,27.06,70.09
20260817_115,24.63,92.39
20260817_119,26.34,81.88
20260817_121,26.05,80.91
20260817_127,27.42,74.66
20260817_129,26.6,84.75
20260817_130,26.92,84.31
20260817_131,28.88,67.03
20260817_133,27.32,82.42
20260817_135,24.82,82.29
20260817_136,25.98,83.69
20260817_137,25.25,92.71
20260817_138,28.15,73.08
20260817_140,30.03,72.92
20260817_143,27.92,72.12
20260817_146,30.27,71.27
20260817_152,24.51,89.91
20260817_155,24.25,92.49
20260817_156,26.96,90.86
20260817_159,23.81,95.28
20260817_162,24.18,96.04
20260817_165,28.76,76.64
20260817_168,25.62,82.8
20260817_169,29.78,74.84
20260817_170,28.26,84.22
20260817_172,29.61,74.19
20260817_174,25.94,80.18
20260817_177,26.86,87.29
20260817_181,27.15,77.48
20260817_184,30.72,73.48
20260817_185,29.63,78.41
20260817_188,26.56,91.75
20260817_189,30.18,79.01
20260817_192,25.91,84.22
20260817_201,25.76,81.84
20260817_202,25.25,80.49
20260817_203,26.43,82.23
20260817_211,25.24,80.05
20260817_212,26.02,79.06
20260817_216,25.0,74.01
20260817_217,25.98,78.89
20260817_221,24.53,84.99
20260817_226,24.94,88.28
20260817_232,27.76,75.41
20260817_235,28.89,73.49
20260817_236,28.4,75.1
20260817_238,25.88,92.51
20260817_239,27.19,78.81
20260817_243,29.49,74.93
20260817_244,25.97,84.72
20260817_245,31.1,66.08
20260817_247,26.96,83.59
20260817_248,25.66,79.76
20260817_252,29.87,76.94
20260817_253,24.08,97.8
20260817_254,26.41,87.58
20260817_255,25.23,91.21
20260817_257,24.55,98.12
20260817_258,26.85,85.73
20260817_259,27.06,87.26
20260817_260,26.93,86.87
20260817_261,26.99,90.08
20260817_262,26.78,83.17
20260817_263,26.15,86.14
20260817_264,27.24,78.23
20260817_266,26.6,84.99
20260817_268,28.39,77.26
20260817_271,24.59,85.1
20260817_272,24.17,92.07
20260817_273,24.16,94.88
20260817_276,28.88,73.94
20260817_277,27.57,76.71
20260817_278,28.2,78.33
20260817_279,27.64,72.2
20260817_281,27.44,78.01
20260817_283,27.33,78.87
20260817_284,25.84,85.04
20260817_285,27.51,76.43
20260817_288,26.46,82.49
20260817_289,26.59,79.37
20260817_294,23.37,98.03
20260817_295,24.48,94.57
20260817_296,24.57,94.37
20260817_90,25.1,82.54
20260817_93,25.48,89.02
20260817_95,25.89,86.16
20260817_98,25.86,82.68
20260817_99,25.8,79.88
20260818_100,27.3,62.9
20260818_101,31.52,54.71
20260818_102,26.5,75.65
20260818_104,30.07,68.53
20260818_105,32.31,53.61
20260818_106,28.74,69.06
20260818_108,30.67,60.45
